Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,1,1
2020-04-07,1,0,-1
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,1,1
2020-04-18,1,1,0
2020-04-19,1,1,0
2020-04-20,1,2,1
2020-04-21,2,2,0
2020-04-22,2,2,0
2020-04-23,2,2,0
2020-04-24,2,2,0
2020-04-25,2,2,0
2020-04-26,2,2,0
2020-04-27,2,2,0
2020-04-28,2,2,0
2020-04-29,2,2,0
2020-04-30,2,2,0
2020-05-01,2,2,0
2020-05-02,2,2,0
2020-05-03,2,2,0
2020-05-04,2,2,0
2020-05-05,2,2,0
2020-05-06,2,2,0
2020-05-07,2,2,+
2020-05-08,2,2,+
2020-05-09,2,3,1
2020-05-10,3,3,+
2020-05-11,3,3,+
2020-05-12,3,4,1
2020-05-13,4,4,+
2020-05-14,4,4,+
2020-05-15,4,4,+
2020-05-16,4,5,1
2020-05-17,5,5,+
2020-05-18,5,7,2
2020-05-19,7,7,+
2020-05-20,7,7,+
2020-05-21,7,9,2
2020-05-22,9,10,1
2020-05-23,10,10,+
2020-05-24,10,10,+
2020-05-25,10,11,1
2020-05-26,11,11,+
2020-05-27,11,11,+
2020-05-28,11,15,4
2020-05-29,15,15,+
2020-05-30,15,15,+
2020-05-31,15,20,5
2020-06-01,20,24,4
2020-06-02,24,25,1
2020-06-03,26,28,2
2020-06-04,29,40,11
2020-06-05,41,40,-1
2020-06-06,41,41,+
2020-06-07,42,44,2
2020-06-08,45,44,-1
2020-06-09,45,45,+
2020-06-10,46,47,1
2020-06-11,48,47,-1
2020-06-12,48,50,2
2020-06-13,52,53,1
2020-06-14,55,54,-1
2020-06-15,56,56,+
2020-06-16,58,61,3
2020-06-17,63,62,-1
2020-06-18,64,63,-1
2020-06-19,65,64,-1
2020-06-20,66,67,1
2020-06-21,69,70,1
2020-06-22,72,76,4
2020-06-23,74.9347,82,7.06531
2020-06-24,77.9735,85,7.02646
2020-06-25,81.1359,87,5.8641
2020-06-26,84.4265,87,2.57349
2020-06-27,87.8506,94,6.14942
2020-06-28,91.4135,98,6.58649
2020-06-29,95.1209,103,7.87905
2020-06-30,98.9787,115,16.0213
2020-07-01,102.993,115,12.007
2020-07-02,107.17,118,10.8299
2020-07-03,111.517,124,12.4835
2020-07-04,116.039,128,11.9607
2020-07-05,120.745,135,14.2545
2020-07-06,125.643,136,10.3575
2020-07-07,130.738,141,10.2618
2020-07-08,136.04,1.63042e-322,-136.04
