Data,Saida_Estimada,Saida,Erro
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,-1,0,1
2020-04-05,0,0,0
2020-04-06,3,0,-3
2020-04-07,-3,0,3
2020-04-08,-2,0,2
2020-04-09,-2,0,2
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,-3,0,3
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,1,0,-1
2020-04-19,0,1,1
2020-04-20,-2,1,3
2020-04-21,0,1,1
2020-04-22,0,1,1
2020-04-23,1,2,1
2020-04-24,1,2,1
2020-04-25,2,3,1
2020-04-26,2,3,1
2020-04-27,0,3,3
2020-04-28,2,3,1
2020-04-29,3,3,0
2020-04-30,1,3,2
2020-05-01,0,3,3
2020-05-02,0,5,5
2020-05-03,0,5,5
2020-05-04,0,5,5
2020-05-05,0,6,6
2020-05-06,0,6,6
2020-05-07,0,6,6
2020-05-08,+,6,6
2020-05-09,-1,6,7
2020-05-10,-1,7,8
2020-05-11,1,7,6
2020-05-12,+,8,8
2020-05-13,1,9,8
2020-05-14,2,9,7
2020-05-15,3,17,14
2020-05-16,6,10,4
2020-05-17,4,18,14
2020-05-18,10,18,8
2020-05-19,8,11,3
2020-05-20,5,11,6
2020-05-21,4,11,7
2020-05-22,9,20,11
2020-05-23,6,21,15
2020-05-24,11,21,10
2020-05-25,14,21,7
2020-05-26,11,21,10
2020-05-27,13,21,8
2020-05-28,12,23,11
2020-05-29,15,25,10
2020-05-30,14,25,11
2020-05-31,16,31,15
2020-06-01,21,33,12
2020-06-02,25,33,8
2020-06-03,18,33,15
2020-06-04,24,33,9
2020-06-05,23,33,10
2020-06-06,21,33,12
2020-06-07,23,33,10
2020-06-08,-21,+,+
2020-06-09,4,+,+
2020-06-10,17,+,+
2020-06-11,30,+,+
2020-06-12,41,+,+
2020-06-13,50,+,+
2020-06-14,58,+,+
2020-06-15,65,+,+
2020-06-16,71,+,+
2020-06-17,77,+,+
2020-06-18,81,+,+
2020-06-19,85,+,+
2020-06-20,89,+,+
2020-06-21,91,+,+
2020-06-22,94,+,+
