Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,1,1
2020-03-26,0,2,2
2020-03-27,1,1,0
2020-03-28,1,1,0
2020-03-29,0,0,0
2020-03-30,0,1,1
2020-03-31,0,0,0
2020-04-01,0,2,2
2020-04-02,1,1,0
2020-04-03,1,1,0
2020-04-04,0,4,4
2020-04-05,2,7,5
2020-04-06,5,9,4
2020-04-07,7,4,-3
2020-04-08,5,12,7
2020-04-09,8,10,2
2020-04-10,10,9,-1
2020-04-11,9,7,-2
2020-04-12,7,13,6
2020-04-13,10,17,7
2020-04-14,14,13,-1
2020-04-15,14,28,14
2020-04-16,21,17,-4
2020-04-17,21,26,5
2020-04-18,21,19,-2
2020-04-19,21,11,-10
2020-04-20,13,18,5
2020-04-21,14,26,12
2020-04-22,22,22,+
2020-04-23,23,30,7
2020-04-24,25,40,15
2020-04-25,34,29,-5
2020-04-26,32,34,2
2020-04-27,31,35,4
2020-04-28,33,58,25
2020-04-29,47,30,-17
2020-04-30,40,27,-13
2020-05-01,27,38,11
2020-05-02,32,25,-7
2020-05-03,29,24,-5
2020-05-04,23,39,16
2020-05-05,31,58,27
2020-05-06,48,54,6
2020-05-07,54,42,-12
2020-05-08,45,82,37
2020-05-09,63,45,-18
2020-05-10,58,75,17
2020-05-11,60,40,-20
2020-05-12,53,70,17
2020-05-13,56,67,11
2020-05-14,66,74,8
2020-05-15,69,83,14
2020-05-16,77,80,3
2020-05-17,79,55,-24
2020-05-18,63,124,61
2020-05-19,92,101,9
2020-05-20,107,93,-14
2020-05-21,93,91,-2
2020-05-22,89,132,43
2020-05-23,111,87,-24
2020-05-24,102,56,-46
2020-05-25,67,48,-19
2020-05-26,49,80,31
2020-05-27,64,140,76
2020-05-28,112,98,-14
2020-05-29,112,103,-9
2020-05-30,98,71,-27
2020-05-31,82,67,-15
2020-06-01,66,68,2
2020-06-02,65,58,-7
2020-06-03,60,79,19
2020-06-04,68,122,54
2020-06-05,101,71,-30
2020-06-06,106.892,65,-41.8922
2020-06-07,101.741,35,-66.7414
2020-06-08,101.196,45,-56.1959
2020-06-09,98.7995,103,4.20047
2020-06-10,97.2147,78,-19.2147
2020-06-11,95.3422,102,6.65782
2020-06-12,93.6346,61,-32.6346
2020-06-13,91.9044,90,-1.90439
2020-06-14,90.2281,71,-19.2281
2020-06-15,88.5733,31,-57.5733
2020-06-16,86.9526,73,-13.9526
2020-06-17,85.36,50,-35.36
2020-06-18,83.7973,48,-35.7973
2020-06-19,82.2629,45,-37.2629
2020-06-20,80.7566,46,-34.7566
2020-06-21,79.2779,4.03652e-321,-79.2779
