Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,1,1
2020-04-14,1,1,0
2020-04-15,1,1,0
2020-04-16,1,1,0
2020-04-17,1,1,0
2020-04-18,1,1,0
2020-04-19,1,1,0
2020-04-20,1,1,0
2020-04-21,1,1,0
2020-04-22,1,1,0
2020-04-23,1,1,0
2020-04-24,1,1,0
2020-04-25,1,1,0
2020-04-26,1,1,0
2020-04-27,1,1,0
2020-04-28,1,1,0
2020-04-29,1,1,0
2020-04-30,1,1,0
2020-05-01,1,1,0
2020-05-02,1,1,0
2020-05-03,1,1,0
2020-05-04,1,1,0
2020-05-05,1,1,0
2020-05-06,1,1,0
2020-05-07,1,1,+
2020-05-08,1,1,+
2020-05-09,1,1,+
2020-05-10,1,1,+
2020-05-11,1,1,+
2020-05-12,1,1,+
2020-05-13,1,2,1
2020-05-14,2,2,+
2020-05-15,2,2,+
2020-05-16,2,2,+
2020-05-17,2,2,+
2020-05-18,2,2,+
2020-05-19,2,2,+
2020-05-20,2,2,+
2020-05-21,2,3,1
2020-05-22,3,3,+
2020-05-23,3,4,1
2020-05-24,4,4,+
2020-05-25,4,4,+
2020-05-26,4,4,+
2020-05-27,4,4,+
2020-05-28,4,3,-1
2020-05-29,3,3,+
2020-05-30,3,4,1
2020-05-31,4,4,+
2020-06-01,4,4,+
2020-06-02,4,4,+
2020-06-03,4,4,+
2020-06-04,4,4,+
2020-06-05,4,4,+
2020-06-06,4,4,+
2020-06-07,4,4,+
2020-06-08,4,4,+
2020-06-09,4,4,+
2020-06-10,4,4,+
2020-06-11,4,4,+
2020-06-12,4,4,+
2020-06-13,4,5,1
2020-06-14,5,5,+
2020-06-15,5,5,+
2020-06-16,5.10323,5,-0.103227
2020-06-17,5.21383,5,-0.213835
2020-06-18,5.3271,5,-0.327102
2020-06-19,5.44284,5,-0.442842
2020-06-20,5.5611,5,-0.561098
2020-06-21,5.68192,5,-0.681923
2020-06-22,5.80537,5,-0.805373
2020-06-23,5.9315,5,-0.931505
2020-06-24,6.06038,5,-1.06038
2020-06-25,6.19205,5,-1.19205
2020-06-26,6.32658,6,-0.326584
2020-06-27,6.46404,7,0.535959
2020-06-28,6.60448,7,0.395516
2020-06-29,6.74798,7,0.252022
2020-06-30,6.89459,7,0.10541
2020-07-01,7.04439,3.87347e-321,-7.04439
