Data,Saida_Estimada,Saida,Erro
2020-03-28,1,1,0
2020-03-29,1,1,0
2020-03-30,0,1,1
2020-03-31,0,1,1
2020-04-01,0,1,1
2020-04-02,0,1,1
2020-04-03,1,1,0
2020-04-04,0,2,2
2020-04-05,1,1,0
2020-04-06,-1,1,2
2020-04-07,-1,1,2
2020-04-08,-1,1,2
2020-04-09,0,1,1
2020-04-10,0,1,1
2020-04-11,0,1,1
2020-04-12,0,1,1
2020-04-13,0,1,1
2020-04-14,0,1,1
2020-04-15,0,1,1
2020-04-16,0,2,2
2020-04-17,2,2,0
2020-04-18,1,2,1
2020-04-19,0,3,3
2020-04-20,2,3,1
2020-04-21,2,5,3
2020-04-22,4,5,1
2020-04-23,4,5,1
2020-04-24,4,7,3
2020-04-25,5,4,-1
2020-04-26,2,8,6
2020-04-27,6,9,3
2020-04-28,7,9,2
2020-04-29,6,8,2
2020-04-30,2,8,6
2020-05-01,2,8,6
2020-05-02,2,8,6
2020-05-03,1,10,9
2020-05-04,2,14,12
2020-05-05,6,14,8
2020-05-06,5,15,10
2020-05-07,7,17,10
2020-05-08,8,19,11
2020-05-09,11,19,8
2020-05-10,12,21,9
2020-05-11,13,22,9
2020-05-12,14,25,11
2020-05-13,16,26,10
2020-05-14,17,30,13
2020-05-15,21,34,13
2020-05-16,25,34,9
2020-05-17,26,37,11
2020-05-18,28,45,17
2020-05-19,35,56,21
2020-05-20,45,60,15
2020-05-21,49,60,11
2020-05-22,48,89,41
2020-05-23,75,89,14
2020-05-24,77,90,13
2020-05-25,77,90,13
2020-05-26,77,91,14
2020-05-27,78,91,13
2020-05-28,78,91,13
2020-05-29,77,94,17
2020-05-30,81,129,48
2020-05-31,113,129,16
2020-06-01,114,136,22
2020-06-02,118,138,20
2020-06-03,121,147,26
2020-06-04,130,183,53
2020-06-05,138,+,+
2020-06-06,152,+,+
2020-06-07,166,+,+
2020-06-08,178,+,+
2020-06-09,189,+,+
2020-06-10,200,+,+
2020-06-11,209,+,+
2020-06-12,218,+,+
2020-06-13,227,+,+
2020-06-14,235,+,+
2020-06-15,242,+,+
2020-06-16,249,+,+
2020-06-17,255,+,+
2020-06-18,261,+,+
2020-06-19,266,+,+
