Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,1,1
2020-04-20,1,1,0
2020-04-21,1,1,0
2020-04-22,1,1,0
2020-04-23,1,1,0
2020-04-24,1,1,0
2020-04-25,1,1,0
2020-04-26,1,1,0
2020-04-27,1,1,0
2020-04-28,1,1,0
2020-04-29,1,1,0
2020-04-30,1,1,0
2020-05-01,1,1,0
2020-05-02,1,1,0
2020-05-03,1,2,1
2020-05-04,2,2,0
2020-05-05,2,2,0
2020-05-06,2,2,0
2020-05-07,2,2,+
2020-05-08,2,2,+
2020-05-09,2,2,+
2020-05-10,2,2,+
2020-05-11,2,2,+
2020-05-12,2,2,+
2020-05-13,2,3,1
2020-05-14,3,4,1
2020-05-15,4,4,+
2020-05-16,4,4,+
2020-05-17,4,4,+
2020-05-18,4,5,1
2020-05-19,5,5,+
2020-05-20,5,6,1
2020-05-21,6,6,+
2020-05-22,6,6,+
2020-05-23,6,6,+
2020-05-24,6,6,+
2020-05-25,6,7,1
2020-05-26,7,7,+
2020-05-27,7,7,+
2020-05-28,7,7,+
2020-05-29,7,7,+
2020-05-30,7,7,+
2020-05-31,7,8,1
2020-06-01,8,8,+
2020-06-02,8,9,1
2020-06-03,9,10,1
2020-06-04,10,10,+
2020-06-05,10,12,2
2020-06-06,12,12,+
2020-06-07,12,12,+
2020-06-08,12,12,+
2020-06-09,12,13,1
2020-06-10,13,13,+
2020-06-11,13,14,1
2020-06-12,14,16,2
2020-06-13,16,16,+
2020-06-14,16,16,+
2020-06-15,16,16,+
2020-06-16,16,16,+
2020-06-17,16,16,+
2020-06-18,16,17,1
2020-06-19,17,17,+
2020-06-20,17,18,1
2020-06-21,18,19,1
2020-06-22,19,19,+
2020-06-23,19,20,1
2020-06-24,20,20,+
2020-06-25,20,20,+
2020-06-26,20,20,+
2020-06-27,20,21,1
2020-06-28,21,22,1
2020-06-29,22,23,1
2020-06-30,23,24,1
2020-07-01,24,25,1
2020-07-02,25,28,3
2020-07-03,28,31,3
2020-07-04,31,32,1
2020-07-05,32,32,+
2020-07-06,32,33,1
2020-07-07,33,33,+
2020-07-08,33,36,3
2020-07-09,36,36,+
2020-07-10,36,38,2
2020-07-11,38,38,+
2020-07-12,38,39,1
2020-07-13,39,40,1
2020-07-14,40,40,+
2020-07-15,40,40,+
2020-07-16,40,40,+
2020-07-17,40,42,2
2020-07-18,42,43,1
2020-07-19,43,43,+
2020-07-20,43,44,1
2020-07-21,44,44,+
2020-07-22,44,44,+
2020-07-23,44,44,+
2020-07-24,44,44,+
2020-07-25,44,44,+
2020-07-26,44,44,+
2020-07-27,44,46,2
2020-07-28,46,49,3
2020-07-29,50,49,-1
2020-07-30,49,49,+
2020-07-31,49,49,+
2020-08-01,49,50,1
2020-08-02,50,50,+
2020-08-03,50,50,+
2020-08-04,50,50,+
2020-08-05,50.5048,50,-0.504824
2020-08-06,51.1213,50,-1.12131
2020-08-07,51.7676,50,-1.76759
2020-08-08,52.4267,50,-2.42669
2020-08-09,53.0951,50,-3.09515
2020-08-10,53.7723,50,-3.77233
2020-08-11,54.4582,50,-4.45819
2020-08-12,55.1528,50,-5.15281
2020-08-13,55.8563,50,-5.85629
2020-08-14,56.5687,50,-6.56874
2020-08-15,57.2903,52,-5.29028
2020-08-16,58.021,52,-6.02102
2020-08-17,58.7611,52,-6.76109
2020-08-18,59.5106,53,-6.51059
2020-08-19,60.2697,53,-7.26965
2020-08-20,61.0384,1.98336e-315,-61.0384
