Data,Saida_Estimada,Saida,Erro
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,1,1
2020-03-27,1,1,0
2020-03-28,1,1,0
2020-03-29,1,1,0
2020-03-30,1,1,0
2020-03-31,1,2,1
2020-04-01,2,2,0
2020-04-02,2,2,0
2020-04-03,2,5,3
2020-04-04,5,5,0
2020-04-05,5,10,5
2020-04-06,10,10,0
2020-04-07,10,11,1
2020-04-08,11,15,4
2020-04-09,15,17,2
2020-04-10,17,18,1
2020-04-11,18,21,3
2020-04-12,21,24,3
2020-04-13,25,24,-1
2020-04-14,25,26,1
2020-04-15,27,28,1
2020-04-16,29,29,0
2020-04-17,30,30,0
2020-04-18,31,31,0
2020-04-19,32,32,0
2020-04-20,33,35,2
2020-04-21,36,35,-1
2020-04-22,36,37,1
2020-04-23,38,39,1
2020-04-24,40,42,2
2020-04-25,43,42,-1
2020-04-26,43,42,-1
2020-04-27,43,43,+
2020-04-28,44,44,+
2020-04-29,46,44,-2
2020-04-30,46,46,+
2020-05-01,48,48,+
2020-05-02,50,52,2
2020-05-03,54,52,-2
2020-05-04,54,52,-2
2020-05-05,54,55,1
2020-05-06,57,59,2
2020-05-07,61,63,2
2020-05-08,65,63,-2
2020-05-09,65,64,-1
2020-05-10,66,65,-1
2020-05-11,67,69,2
2020-05-12,72,73,1
2020-05-13,74.655,73,-1.65503
2020-05-14,77.4324,78,0.567615
2020-05-15,80.3377,79,-1.33769
2020-05-16,83.3768,81,-2.37684
2020-05-17,86.556,83,-3.556
2020-05-18,89.8816,85,-4.88162
2020-05-19,93.3605,91,-2.36046
2020-05-20,96.9996,94,-2.99956
2020-05-21,100.806,98,-2.80632
2020-05-22,104.788,100,-4.78845
2020-05-23,108.954,103,-5.95404
2020-05-24,113.312,105,-8.31154
2020-05-25,117.87,109,-8.86979
2020-05-26,122.638,121,-1.63803
2020-05-27,127.626,126,-1.62595
2020-05-28,132.844,131,-1.84365
