Data,Saida_Estimada,Saida,Erro
2020-03-06,1,1,0
2020-03-07,1,2,1
2020-03-08,2,2,0
2020-03-09,2,2,0
2020-03-10,2,2,0
2020-03-11,2,2,0
2020-03-12,2,2,0
2020-03-13,2,2,0
2020-03-14,2,2,0
2020-03-15,2,2,0
2020-03-16,2,2,0
2020-03-17,2,3,1
2020-03-18,3,3,0
2020-03-19,3,30,27
2020-03-20,31,33,2
2020-03-21,34,41,7
2020-03-22,42,49,7
2020-03-23,51,63,12
2020-03-24,65,76,11
2020-03-25,79,84,5
2020-03-26,87,104,17
2020-03-27,108,115,7
2020-03-28,120,127,7
2020-03-29,133,154,21
2020-03-30,161,176,15
2020-03-31,184,213,29
2020-04-01,223,246,23
2020-04-02,257,267,10
2020-04-03,279,282,3
2020-04-04,295,332,37
2020-04-05,347,401,54
2020-04-06,420,431,11
2020-04-07,451,456,5
2020-04-08,477,497,20
2020-04-09,520,559,39
2020-04-10,585,604,19
2020-04-11,632,635,3
2020-04-12,665,673,8
2020-04-13,704,723,19
2020-04-14,757,759,2
2020-04-15,794,807,13
2020-04-16,845,951,106
2020-04-17,996,1059,63
2020-04-18,1109,1193,84
2020-04-19,1249,1230,-19
2020-04-20,1288,1341,53
2020-04-21,1404,1489,85
2020-04-22,1559,1644,85
2020-04-23,1721,1789,68
2020-04-24,1873,1962,89
2020-04-25,2055,2081,26
2020-04-26,2179,2209,30
2020-04-27,2313,2354,41
2020-04-28,2465,2540,75
2020-04-29,2660,2646,-14
2020-04-30,2771,2851,80
2020-05-01,2986,3085,99
2020-05-02,3231,3267,36
2020-05-03,3421,3495,74
2020-05-04,3660,3734,74
2020-05-05,3911,4040,129
2020-05-06,4231,4301,70
2020-05-07,4504,4528,24
2020-05-08,4742,4818,76
2020-05-09,5046,5174,128
2020-05-10,5419,5558,139
2020-05-11,5821,5808,-13
2020-05-12,6083,6204,121
2020-05-13,6498,6547,49
2020-05-14,6863.01,6955,91.9898
2020-05-15,7245.33,8128,882.672
2020-05-16,7645.77,8314,668.226
2020-05-17,8065.21,8443,377.793
2020-05-18,8504.53,8581,76.4714
2020-05-19,8964.68,11013,2048.32
2020-05-20,9446.65,11197,1750.35
2020-05-21,9951.48,11941,1989.52
2020-05-22,10480.2,12557,2076.76
2020-05-23,11034.1,13000,1965.93
2020-05-24,11614.2,13899,2284.83
2020-05-25,12221.8,14204,1982.23
2020-05-26,12858.2,14566,1707.82
2020-05-27,13524.8,15070,1545.24
2020-05-28,14223,15963,1740.04
2020-05-29,14954.3,16917,1962.74
