Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,1,1,0
2020-03-06,1,1,0
2020-03-07,2,2,0
2020-03-08,2,3,1
2020-03-09,3,3,0
2020-03-10,3,8,5
2020-03-11,8,13,5
2020-03-12,13,16,3
2020-03-13,16,16,0
2020-03-14,16,22,6
2020-03-15,22,24,2
2020-03-16,24,31,7
2020-03-17,32,33,1
2020-03-18,33,45,12
2020-03-19,46,65,19
2020-03-20,68,109,41
2020-03-21,115,119,4
2020-03-22,121,186,65
2020-03-23,196,233,37
2020-03-24,241,305,64
2020-03-25,317,370,53
2020-03-26,381,421,40
2020-03-27,431,493,62
2020-03-28,506,558,52
2020-03-29,571,600,29
2020-03-30,611,657,46
2020-03-31,670,708,38
2020-04-01,721,832,111
2020-04-02,855,992,137
2020-04-03,1021,1074,53
2020-04-04,1095,1246,151
2020-04-05,1280,1394,114
2020-04-06,1426,1461,35
2020-04-07,1484,1688,204
2020-04-08,1733,1938,205
2020-04-09,1988,2216,228
2020-04-10,2273,2464,191
2020-04-11,2520,2607,87
2020-04-12,2651,2855,204
2020-04-13,2915,3231,316
2020-04-14,3310,3410,100
2020-04-15,3467,3743,276
2020-04-16,3823,3944,121
2020-04-17,4009,4349,340
2020-04-18,4444,4543,99
2020-04-19,4614,4765,151
2020-04-20,4842,4899,57
2020-04-21,4966,5306,340
2020-04-22,5411,5552,141
2020-04-23,5640,6172,532
2020-04-24,6312,6282,-30
2020-04-25,6361,6828,467
2020-04-26,6966,7111,145
2020-04-27,7220,7944,724
2020-04-28,8129,8504,375
2020-04-29,8661,8869,208
2020-04-30,9006,9453,447
2020-05-01,9623,10166,543
2020-05-02,10359,10546,187
2020-05-03,10703,11139,436
2020-05-04,11328,11721,393
2020-05-05,11915,12391,476
2020-05-06,12602,13295,693
2020-05-07,13545,14156,611
2020-05-08,14409,15741,1332
2020-05-09,16100,16929,829
2020-05-10,17251,17062,-189
2020-05-11,17257,17939,682
2020-05-12,18234,18486,252
2020-05-13,18746,18728,-18
2020-05-14,18953,19467,514
2020-05-15,19761,19987,226
2020-05-16,20260,21601,1341
2020-05-17,22025,22238,213
2020-05-18,22549,26665,4116
2020-05-19,27486,27805,319
2020-05-20,28236,30372,2136
2020-05-21,31004,32089,1085
2020-05-22,32635,33589,954
2020-05-23,34124,34533,409
2020-05-24,35010,37912,2902
2020-05-25,38723,39298,575
2020-05-26,39879,40024,145
2020-05-27,40532,42398,1866
2020-05-28,43133,44886,1753
2020-05-29,45661,47953,2292
2020-05-30,48831,52420,3589
2020-05-31,53516,53388,-128
2020-06-01,54066,54530,464
2020-06-02,55241,56732,1491
2020-06-03,57596,59240,1644
2020-06-04,60168,60932,764
2020-06-05,61777,63066,1289
2020-06-06,63988,64533,545
2020-06-07,65389,67756,2367
2020-06-08,68861,69499,638
2020-06-09,70440,72979,2539
2020-06-10,74170,74373,203
2020-06-11,75323,75775,452
2020-06-12,76740,77784,1044
2020-06-13,78845,78836,-9
2020-06-14,79791,79572,-219
2020-06-15,80496,80946,450
2020-06-16,81962,83343,1381
2020-06-17,84510,86963,2453
2020-06-18,88317,87317,-1000
2020-06-19,88275,93378,5103
2020-06-20,95099,95537,438
2020-06-21,96802,96133,-669
2020-06-22,97971.6,97572,-399.581
2020-06-23,99141.7,100869,1727.27
2020-06-24,100324,103493,3168.78
2020-06-25,101521,105897,4376.4
2020-06-26,102731,108497,5765.76
2020-06-27,103956,108803,4846.7
2020-06-28,105196,111298,6102.02
2020-06-29,106450,111883,5432.56
2020-06-30,107720,112611,4891.15
2020-07-01,109004,115278,6273.59
2020-07-02,110304,116823,6518.72
2020-07-03,111620,118956,7336.34
2020-07-04,112951,120440,7489.28
2020-07-05,114298,121292,6994.35
2020-07-06,115661,121879,6218.35
2020-07-07,117040,2.12695e-320,-117040
