Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,1,1,0
2020-04-02,3,3,0
2020-04-03,4,4,0
2020-04-04,5,5,0
2020-04-05,5,5,0
2020-04-06,5,5,0
2020-04-07,5,10,5
2020-04-08,12,10,-2
2020-04-09,10,10,0
2020-04-10,10,10,0
2020-04-11,10,13,3
2020-04-12,14,13,-1
2020-04-13,13,13,0
2020-04-14,13,13,0
2020-04-15,13,14,1
2020-04-16,14,15,1
2020-04-17,15,26,11
2020-04-18,31,27,-4
2020-04-19,27,34,7
2020-04-20,37,36,-1
2020-04-21,37,34,-3
2020-04-22,33,42,9
2020-04-23,46,50,4
2020-04-24,54,50,-4
2020-04-25,50,51,1
2020-04-26,52,57,5
2020-04-27,60,64,4
2020-04-28,68,64,-4
2020-04-29,64,66,2
2020-04-30,67,96,29
2020-05-01,111,102,-9
2020-05-02,106,102,-4
2020-05-03,103,118,15
2020-05-04,127,131,4
2020-05-05,138,131,-7
2020-05-06,132,134,2
2020-05-07,137,150,13
2020-05-08,159,166,7
2020-05-09,175,168,-7
2020-05-10,170,172,2
2020-05-11,175,172,-3
2020-05-12,174,211,37
2020-05-13,232,234,2
2020-05-14,247,301,54
2020-05-15,336,320,-16
2020-05-16,332,361,29
2020-05-17,384,365,-19
2020-05-18,371,411,40
2020-05-19,437,491,54
2020-05-20,535,592,57
2020-05-21,647,660,13
2020-05-22,700,730,30
2020-05-23,772,736,-36
2020-05-24,747,789,42
2020-05-25,823,965,142
2020-05-26,1060,1039,-21
2020-05-27,1086,1103,17
2020-05-28,1146,1120,-26
2020-05-29,1141,1206,65
2020-05-30,1261,1240,-21
2020-05-31,1270,1279,9
2020-06-01,1312,1279,-33
2020-06-02,1294,1331,37
2020-06-03,1371,1557,186
2020-06-04,1683,1864,181
2020-06-05,2033,2133,100
2020-06-06,2287,2311,24
2020-06-07,2423,2339,-84
2020-06-08,2380,2482,102
2020-06-09,2579,2609,30
2020-06-10,2700,2736,36
2020-06-11,2829,2930,101
2020-06-12,3057,3062,5
2020-06-13,3161,3152,-9
2020-06-14,3232,3191,-41
2020-06-15,3247,3245,-2
2020-06-16,3309,3412,103
2020-06-17,3532,3557,25
2020-06-18,3668,3639,-29
2020-06-19,3721,3768,47
2020-06-20,3874,4072,198
2020-06-21,4266,4181,-85
2020-06-22,4282,4292,10
2020-06-23,4395,4514,119
2020-06-24,4673,4876,203
2020-06-25,5107,5247,140
2020-06-26,5487,5575,88
2020-06-27,5798,6323,525
2020-06-28,6756,6433,-323
2020-06-29,6561,6514,-47
2020-06-30,6629,6820,191
2020-07-01,7047,7212,165
2020-07-02,7485,7409,-76
2020-07-03,7591,7692,101
2020-07-04,7918,8017,99
2020-07-05,8267,8182,-85
2020-07-06,8357,8209,-148
2020-07-07,8318,8327,9
2020-07-08,8481,8521,40
2020-07-09,8655.09,8726,70.9083
2020-07-10,8840.88,8975,134.115
2020-07-11,9034.49,9114,79.5112
2020-07-12,9234.13,9186,-48.1295
2020-07-13,9439.03,9413,-26.0257
2020-07-14,9648.86,9601,-47.8648
2020-07-15,9863.55,9788,-75.555
2020-07-16,10083.1,9975,-108.11
2020-07-17,10307.6,10097,-210.592
2020-07-18,10537.1,10198,-339.092
2020-07-19,10771.7,10201,-570.71
2020-07-20,11011.6,10288,-723.557
2020-07-21,11256.7,10466,-790.747
2020-07-22,11507.4,10674,-833.396
2020-07-23,11763.6,10973,-790.628
2020-07-24,12025.6,4.43177e-321,-12025.6
