Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,1,1,0
2020-04-02,1,1,0
2020-04-03,1,1,0
2020-04-04,1,1,0
2020-04-05,1,1,0
2020-04-06,1,0,-1
2020-04-07,0,1,1
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,1,0
2020-04-11,1,1,0
2020-04-12,1,1,0
2020-04-13,1,1,0
2020-04-14,1,1,0
2020-04-15,1,1,0
2020-04-16,1,1,0
2020-04-17,1,2,1
2020-04-18,2,2,0
2020-04-19,2,2,0
2020-04-20,2,2,0
2020-04-21,2,2,0
2020-04-22,2,2,0
2020-04-23,2,2,0
2020-04-24,2,2,0
2020-04-25,2,2,0
2020-04-26,2,2,0
2020-04-27,2,2,0
2020-04-28,2,2,0
2020-04-29,2,2,0
2020-04-30,2,2,0
2020-05-01,2,3,1
2020-05-02,3,3,0
2020-05-03,3,3,0
2020-05-04,3,3,0
2020-05-05,3,3,0
2020-05-06,3,3,0
2020-05-07,3,5,2
2020-05-08,5,6,1
2020-05-09,6,7,1
2020-05-10,7,8,1
2020-05-11,8,9,1
2020-05-12,9,9,+
2020-05-13,9,9,+
2020-05-14,9,9,+
2020-05-15,9,9,+
2020-05-16,9,13,4
2020-05-17,13,14,1
2020-05-18,14,15,1
2020-05-19,15,15,+
2020-05-20,15,16,1
2020-05-21,16,16,+
2020-05-22,16,16,+
2020-05-23,16,17,1
2020-05-24,17,18,1
2020-05-25,18,18,+
2020-05-26,18,19,1
2020-05-27,19,19,+
2020-05-28,19,21,2
2020-05-29,21,21,+
2020-05-30,21,22,1
2020-05-31,22,22,+
2020-06-01,22,23,1
2020-06-02,23,23,+
2020-06-03,23,25,2
2020-06-04,25,25,+
2020-06-05,25,25,+
2020-06-06,25,25,+
2020-06-07,25,25,+
2020-06-08,25,28,3
2020-06-09,28,29,1
2020-06-10,29,33,4
2020-06-11,34,36,2
2020-06-12,37,43,6
2020-06-13,44,44,+
2020-06-14,44,44,+
2020-06-15,44,45,1
2020-06-16,45,45,+
2020-06-17,45,46,1
2020-06-18,46,47,1
2020-06-19,47,49,2
2020-06-20,50,49,-1
2020-06-21,49,50,1
2020-06-22,50,50,+
2020-06-23,50,50,+
2020-06-24,50,51,1
2020-06-25,51,51,+
2020-06-26,51.7779,51,-0.77791
2020-06-27,52.6983,51,-1.6983
2020-06-28,53.6567,51,-2.65666
2020-06-29,54.636,53,-1.63601
2020-06-30,55.6338,53,-2.63382
2020-07-01,56.6499,55,-1.64995
2020-07-02,57.6847,55,-2.68465
2020-07-03,58.7383,55,-3.73826
2020-07-04,59.8111,57,-2.81111
2020-07-05,60.9036,58,-2.90356
2020-07-06,62.016,58,-4.01596
2020-07-07,63.1487,61,-2.14868
2020-07-08,64.3021,61,-3.30209
2020-07-09,65.4766,61,-4.47656
2020-07-10,66.6725,61,-5.67249
2020-07-11,67.8903,+,-67.8903
