Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,1,1
2020-03-30,1,1,0
2020-03-31,1,2,1
2020-04-01,2,2,0
2020-04-02,2,3,1
2020-04-03,3,5,2
2020-04-04,5,7,2
2020-04-05,7,9,2
2020-04-06,9,10,1
2020-04-07,10,12,2
2020-04-08,12,15,3
2020-04-09,16,19,3
2020-04-10,20,19,-1
2020-04-11,19,21,2
2020-04-12,21,21,+
2020-04-13,21,22,1
2020-04-14,22,22,+
2020-04-15,22,27,5
2020-04-16,28,30,2
2020-04-17,31,36,5
2020-04-18,38,37,-1
2020-04-19,38,45,7
2020-04-20,47,46,-1
2020-04-21,47,47,+
2020-04-22,48,50,2
2020-04-23,51,59,8
2020-04-24,62,64,2
2020-04-25,66,70,4
2020-04-26,72,73,1
2020-04-27,75,76,1
2020-04-28,78,86,8
2020-04-29,90,96,6
2020-04-30,100,104,4
2020-05-01,108,117,9
2020-05-02,122,123,1
2020-05-03,127,123,-4
2020-05-04,125,141,16
2020-05-05,148,146,-2
2020-05-06,150,160,10
2020-05-07,166,165,-1
2020-05-08,169,183,14
2020-05-09,191,196,5
2020-05-10,203,202,-1
2020-05-11,207,211,4
2020-05-12,217,225,8
2020-05-13,233,236,3
2020-05-14,243,262,19
2020-05-15,273,281,8
2020-05-16,291,286,-5
2020-05-17,293,295,2
2020-05-18,303,312,9
2020-05-19,322,326,4
2020-05-20,336,362,26
2020-05-21,378,376,-2
2020-05-22,387,399,12
2020-05-23,413,413,+
2020-05-24,425,460,35
2020-05-25,481,477,-4
2020-05-26,491,495,4
2020-05-27,510,531,21
2020-05-28,551,570,19
2020-05-29,591,609,18
2020-05-30,631,638,7
2020-05-31,658,667,9
2020-06-01,688,701,13
2020-06-02,724,736,12
2020-06-03,760,762,2
2020-06-04,784,790,6
2020-06-05,814,819,5
2020-06-06,843,846,3
2020-06-07,871,879,8
2020-06-08,906,910,4
2020-06-09,937,937,+
2020-06-10,964,975,11
2020-06-11,991.641,1013,21.3589
2020-06-12,1020.04,1039,18.9562
2020-06-13,1049.25,1069,19.747
2020-06-14,1079.3,1105,25.7029
2020-06-15,1110.2,1145,34.7989
2020-06-16,1141.99,1181,39.0102
2020-06-17,1174.69,1222,47.3112
2020-06-18,1208.32,1263,54.6759
2020-06-19,1242.92,1305,62.0775
2020-06-20,1278.51,1350,71.4885
2020-06-21,1315.12,1391,75.8805
2020-06-22,1352.78,1441,88.2242
2020-06-23,1391.51,1491,99.4897
2020-06-24,1431.35,1541,109.646
2020-06-25,1472.34,1601,128.662
2020-06-26,1514.5,1.18576e-322,-1514.5
