Data,Saida_Estimada,Saida,Erro
2020-03-19,1,1,0
2020-03-20,0,0,0
2020-03-21,1,1,0
2020-03-22,0,0,0
2020-03-23,3,3,0
2020-03-24,2,2,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,1,1
2020-03-28,0,1,1
2020-03-29,1,0,-1
2020-03-30,0,1,1
2020-03-31,0,1,1
2020-04-01,1,1,0
2020-04-02,1,0,-1
2020-04-03,0,0,0
2020-04-04,0,2,2
2020-04-05,1,3,2
2020-04-06,2,0,-2
2020-04-07,0,2,2
2020-04-08,1,4,3
2020-04-09,3,0,-3
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,2,2
2020-04-13,1,1,0
2020-04-14,1,0,-1
2020-04-15,0,0,0
2020-04-16,0,3,3
2020-04-17,2,2,0
2020-04-18,2,2,0
2020-04-19,2,0,-2
2020-04-20,0,1,1
2020-04-21,0,3,3
2020-04-22,2,0,-2
2020-04-23,0,0,0
2020-04-24,0,6,6
2020-04-25,4,7,3
2020-04-26,6,8,2
2020-04-27,7,9,2
2020-04-28,8,12,4
2020-04-29,11,37,26
2020-04-30,32,21,-11
2020-05-01,23,27,4
2020-05-02,25,27,2
2020-05-03,27,55,28
2020-05-04,50,21,-29
2020-05-05,27,36,9
2020-05-06,33,48,15
2020-05-07,45,72,27
2020-05-08,67,71,4
2020-05-09,71,78,7
2020-05-10,76,116,40
2020-05-11,109,59,-50
2020-05-12,69,81,12
2020-05-13,77,104,27
2020-05-14,100,97,-3
2020-05-15,98,150,52
2020-05-16,140,100,-40
2020-05-17,109,103,-6
2020-05-18,102,114,12
2020-05-19,112,150,38
2020-05-20,143,163,20
2020-05-21,161,167,6
2020-05-22,166,229,63
2020-05-23,218,225,7
2020-05-24,226,161,-65
2020-05-25,172,105,-67
2020-05-26,170.408,162,-8.40833
2020-05-27,171.041,165,-6.04087
2020-05-28,171.281,254,82.7188
2020-05-29,171.591,334,162.409
2020-05-30,171.89,370,198.11
2020-05-31,172.191,195,22.8088
2020-06-01,172.493,169,-3.49258
2020-06-02,172.795,138,-34.7945
2020-06-03,173.097,215,41.903
2020-06-04,173.4,183,9.6
2020-06-05,173.704,301,127.296
2020-06-06,174.008,323,148.992
2020-06-07,174.312,139,-35.3122
2020-06-08,174.617,163,-11.6173
2020-06-09,174.923,245,70.077
2020-06-10,175.229,1.26975e-321,-175.229
