Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,0,1
2020-04-07,1,2
2020-04-08,3,0
2020-04-09,3,2
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,5,2
2020-04-13,7,0
2020-04-14,7,2
2020-04-15,9,1
2020-04-16,10,1
2020-04-17,11,0
2020-04-18,11,0
2020-04-19,11,1
2020-04-20,12,0
2020-04-21,12,0
2020-04-22,12,5
2020-04-23,17,0
2020-04-24,17,0
2020-04-25,17,0
2020-04-26,17,1
2020-04-27,18,1
2020-04-28,19,1
2020-04-29,20,4
2020-04-30,25,-1
2020-05-01,25,5
2020-05-02,31,-1
2020-05-03,31,0
2020-05-04,32,-1
2020-05-05,32,3
2020-05-06,36,-1
2020-05-07,36,+
2020-05-08,37,+
2020-05-09,38,+
2020-05-10,39,+
2020-05-11,40,-1
2020-05-12,40,+
2020-05-13,41,2
2020-05-14,45,-1
2020-05-15,46,-1
2020-05-16,47,-1
2020-05-17,48,-2
2020-05-18,48,+
2020-05-19,50,-2
2020-05-20,50,-1
2020-05-21,51,1
2020-05-22,54,-1
2020-05-23,55,-1
2020-05-24,56,-2
2020-05-25,56,-1
2020-05-26,57,-1
2020-05-27,58,-2
2020-05-28,58,2
2020-05-29,62,1
2020-05-30,66,2
2020-05-31,71,-3
2020-06-01,71,1
2020-06-02,75,+
2020-06-03,78,-1
2020-06-04,80,+
2020-06-05,83,1
2020-06-06,88,-2
2020-06-07,90,+
2020-06-08,94,-2
2020-06-09,96,2
2020-06-10,102,7
2020-06-11,114,-5
2020-06-12,114,4
2020-06-13,123,2
2020-06-14,131,-2
2020-06-15,135,-4
2020-06-16,137,-2
2020-06-17,141,5
2020-06-18,153,2
2020-06-19,162,-2
2020-06-20,167,-4
2020-06-21,170,-2
2020-06-22,176,4
2020-06-23,188,4
2020-06-24,201,4
2020-06-25,215,-5
2020-06-26,220,+
2020-06-27,230,-5
2020-06-28,235,-2
2020-06-29,244,-6
2020-06-30,249,2
2020-07-01,263,-9
2020-07-02,266,15
2020-07-03,295,-6
2020-07-04,303,3
2020-07-05,321,6
2020-07-06,343,-7
2020-07-07,352,-5
2020-07-08,363,7
2020-07-09,388,-1
2020-07-10,405,-4
2020-07-11,420,4
2020-07-12,444,+
2020-07-13,465,8
2020-07-14,496,7
2020-07-15,527,8
2020-07-16,561,-3
2020-07-17,585,1
2020-07-18,614,-19
2020-07-19,623,-12
2020-07-20,640,-9
2020-07-21,661,6
2020-07-22,699,5
2020-07-23,738,-2
2020-07-24,772,-772
2020-07-25,806,+
2020-07-26,842,+
2020-07-27,879,+
2020-07-28,919,+
2020-07-29,960,+
2020-07-30,1004,+
2020-07-31,1050,+
2020-08-01,1097,+
2020-08-02,1148,+
2020-08-03,1200,+
2020-08-04,1256,+
2020-08-05,1314,+
2020-08-06,1375,+
2020-08-07,1438,+
2020-08-08,1505,+
