Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,0,2020-04-03
2020-04-04,0,2020-04-04
2020-04-05,0,2020-04-05
2020-04-06,1,2020-04-06
2020-04-07,3,2020-04-07
2020-04-08,3,2020-04-08
2020-04-09,11,2020-04-09
2020-04-10,11,2020-04-10
2020-04-11,20,2020-04-11
2020-04-12,21,2020-04-12
2020-04-13,32,2020-04-13
2020-04-14,31,2020-04-14
2020-04-15,46,2020-04-15
2020-04-16,46,2020-04-16
2020-04-17,56,2020-04-17
2020-04-18,58,2020-04-18
2020-04-19,68,2020-04-19
2020-04-20,70,2020-04-20
2020-04-21,70,2020-04-21
2020-04-22,73,2020-04-22
2020-04-23,78,2020-04-23
2020-04-24,92,2020-04-24
2020-04-25,117,2020-04-25
2020-04-26,132,2020-04-26
2020-04-27,149,2020-04-27
2020-04-28,158,2020-04-28
2020-04-29,168,2020-04-29
2020-04-30,183,2020-04-30
2020-05-01,205,2020-05-01
2020-05-02,213,2020-05-02
2020-05-03,239,2020-05-03
2020-05-04,319,2020-05-04
2020-05-05,398,2020-05-05
2020-05-06,457,2020-05-06
2020-05-07,475,2020-05-07
2020-05-08,510,2020-05-08
2020-05-09,569,2020-05-09
2020-05-10,636,2020-05-10
2020-05-11,646,2020-05-11
2020-05-12,653,2020-05-12
2020-05-13,723,2020-05-13
2020-05-14,770,2020-05-14
2020-05-15,816,2020-05-15
2020-05-16,841,2020-05-16
2020-05-17,888,2020-05-17
2020-05-18,962,2020-05-18
2020-05-19,1002,2020-05-19
2020-05-20,1048,2020-05-20
2020-05-21,1159,2020-05-21
2020-05-22,1433,2020-05-22
2020-05-23,1683,2020-05-23
2020-05-24,1818,2020-05-24
2020-05-25,1928,2020-05-25
2020-05-26,2088,2020-05-26
2020-05-27,2209,2020-05-27
2020-05-28,2453,2020-05-28
2020-05-29,2570,2020-05-29
2020-05-30,2734,2020-05-30
2020-05-31,2834,2020-05-31
2020-06-01,2970,2020-06-01
2020-06-02,3093,2020-06-02
2020-06-03,3356,2020-06-03
2020-06-04,3509,2020-06-04
2020-06-05,3571,2020-06-05
2020-06-06,3923,2020-06-06
2020-06-07,4198,2020-06-07
2020-06-08,4377,2020-06-08
2020-06-09,4486,2020-06-09
2020-06-10,4676,2020-06-10
2020-06-11,4902,2020-06-11
2020-06-12,5107,2020-06-12
2020-06-13,5212,2020-06-13
2020-06-14,5376,2020-06-14
2020-06-15,5471,2020-06-15
2020-06-16,5651,2020-06-16
2020-06-17,5812,2020-06-17
2020-06-18,5942,2020-06-18
2020-06-19,6244,2020-06-19
2020-06-20,6371,2020-06-20
2020-06-21,6806,2020-06-21
2020-06-22,6833,2020-06-22
2020-06-23,7004,2020-06-23
2020-06-24,7803,2020-06-24
2020-06-25,7872,2020-06-25
2020-06-26,8144,2020-06-26
2020-06-27,8267,2020-06-27
2020-06-28,8430,2020-06-28
2020-06-29,8437,2020-06-29
2020-06-30,8640,2020-06-30
'2020-07-01',8741,+
'2020-07-02',8964,+
'2020-07-03',9194,+
'2020-07-04',9430,+
'2020-07-05',9672,+
'2020-07-06',9920,+
'2020-07-07',10175,+
'2020-07-08',10436,+
'2020-07-09',10703,+
'2020-07-10',10978,+
'2020-07-11',11260,+
'2020-07-12',11549,+
'2020-07-13',11845,+
'2020-07-14',12149,+
'2020-07-15',12461,+
'2020-07-16',12781,+
