Data,Saida_Estimada,Saida,Erro
2020-04-18,1,1,0
2020-04-19,1,1,0
2020-04-20,1,1,0
2020-04-21,2,1,1
2020-04-22,2,1,1
2020-04-23,2,2,0
2020-04-24,2,2,0
2020-04-25,2,2,0
2020-04-26,3,2,1
2020-04-27,3,2,1
2020-04-28,3,3,0
2020-04-29,4,3,1
2020-04-30,4,4,0
2020-05-01,5,4,1
2020-05-02,5,5,0
2020-05-03,5,5,0
2020-05-04,5,5,0
2020-05-05,6,5,1
2020-05-06,6,6,0
2020-05-07,7,6,1
2020-05-08,12,7,5
2020-05-09,15,11,4
2020-05-10,19,15,4
2020-05-11,20,19,1
2020-05-12,26,22,4
2020-05-13,32,26,6
2020-05-14,44,33,11
2020-05-15,48,44,4
2020-05-16,70,52,18
2020-05-17,71,69,2
2020-05-18,75,80,-5
2020-05-19,82,83,-1
2020-05-20,93,89,4
2020-05-21,96,100,-4
2020-05-22,114,107,7
2020-05-23,119,121,-2
2020-05-24,157,132,25
2020-05-25,169,160,9
2020-05-26,171,186,-15
2020-05-27,203,193,10
2020-05-28,210,215,-5
2020-05-29,331,235,96
2020-05-30,354,318,36
2020-05-31,381,391,-10
2020-06-01,440,420,20
2020-06-02,422,472,-50
2020-06-03,495,488,7
2020-06-04,493,528,-35
2020-06-05,536,561,-25
2020-06-06,597,588,9
2020-06-07,613,649,-36
2020-06-08,+,-278352,+
2020-06-09,+,-2.14748e+09,+
2020-06-10,+,-2.14748e+09,+
2020-06-11,+,-2.14748e+09,+
2020-06-12,+,-2.14748e+09,+
2020-06-13,+,-2.14748e+09,+
2020-06-14,+,-2.14748e+09,+
2020-06-15,+,-2.14748e+09,+
2020-06-16,+,-2.14748e+09,+
2020-06-17,+,-2.14748e+09,+
2020-06-18,+,-2.14748e+09,+
2020-06-19,+,-2.14748e+09,+
2020-06-20,+,-2.14748e+09,+
2020-06-21,+,-2.14748e+09,+
2020-06-22,+,-2.14748e+09,+
