Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,2,2
2020-04-30,1,2,1
2020-05-01,2,2,0
2020-05-02,2,3,1
2020-05-03,2,3,1
2020-05-04,3,3,0
2020-05-05,3,3,0
2020-05-06,3,3,0
2020-05-07,3,10,7
2020-05-08,9,22,13
2020-05-09,20,23,3
2020-05-10,24,23,-1
2020-05-11,24,23,-1
2020-05-12,24,33,9
2020-05-13,32,33,1
2020-05-14,35,33,-2
2020-05-15,35,39,4
2020-05-16,40,40,+
2020-05-17,42,40,-2
2020-05-18,42,55,13
2020-05-19,55,56,1
2020-05-20,59,56,-3
2020-05-21,59,59,+
2020-05-22,62,63,1
2020-05-23,66,64,-2
2020-05-24,68,115,47
2020-05-25,111,118,7
2020-05-26,125,118,-7
2020-05-27,125,121,-4
2020-05-28,128,121,-7
2020-05-29,129,121,-8
2020-05-30,129,125,-4
2020-05-31,132,126,-6
2020-06-01,134,126,-8
2020-06-02,134,213,79
2020-06-03,207,217,10
2020-06-04,230,220,-10
2020-06-05,234,221,-13
2020-06-06,235,242,7
2020-06-07,247.727,267,19.2733
2020-06-08,261.596,267,5.4037
2020-06-09,276.146,301,24.8537
2020-06-10,291.526,300,8.47409
2020-06-11,307.758,382,74.2422
2020-06-12,324.894,383,58.1057
2020-06-13,342.985,387,44.0152
2020-06-14,362.083,394,31.9173
2020-06-15,382.244,429,46.756
2020-06-16,403.528,431,27.4722
2020-06-17,425.997,431,5.00317
2020-06-18,449.717,434,-15.7169
2020-06-19,474.758,533,58.2422
2020-06-20,501.193,559,57.807
2020-06-21,529.1,560,30.8999
2020-06-22,558.561,2.21835e-321,-558.561
