Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,3,3
2020-04-25,3,3,0
2020-04-26,3,3,0
2020-04-27,3,3,0
2020-04-28,3,3,0
2020-04-29,3,5,2
2020-04-30,5,5,0
2020-05-01,5,8,3
2020-05-02,8,14,6
2020-05-03,15,20,5
2020-05-04,21,30,9
2020-05-05,32,35,3
2020-05-06,36,44,8
2020-05-07,46,52,6
2020-05-08,53,88,35
2020-05-09,96,104,8
2020-05-10,107,109,2
2020-05-11,110,131,21
2020-05-12,136,155,19
2020-05-13,160,166,6
2020-05-14,168,199,31
2020-05-15,206,220,14
2020-05-16,225,252,27
2020-05-17,259,277,18
2020-05-18,283,331,48
2020-05-19,344,388,44
2020-05-20,401,409,8
2020-05-21,414,437,23
2020-05-22,444,619,175
2020-05-23,661,689,28
2020-05-24,706,673,-33
2020-05-25,671,697,26
2020-05-26,704,785,81
2020-05-27,806,890,84
2020-05-28,915,954,39
2020-05-29,970,1048,78
2020-05-30,1071,1089,18
2020-05-31,1101,1113,12
2020-06-01,1121,1130,9
2020-06-02,1136,1230,94
2020-06-03,1255,1377,122
2020-06-04,1413,1525,112
2020-06-05,1562,1637,75
2020-06-06,1666,1714,48
2020-06-07,1735,1757,22
2020-06-08,1771,1782,11
2020-06-09,1792,1901,109
2020-06-10,1932,2072,140
2020-06-11,2115,2217,102
2020-06-12,2255,2301,46
2020-06-13,2325,2410,85
2020-06-14,2440,2423,-17
2020-06-15,2432,2460,28
2020-06-16,2474,2634,160
2020-06-17,2680,2783,103
2020-06-18,2823,2784,-39
2020-06-19,2791,3116,325
2020-06-20,3198,3298,100
2020-06-21,3347,3315,-32
2020-06-22,3366.75,3402,35.2475
2020-06-23,3379.98,3710,330.021
2020-06-24,3391.77,3765,373.228
2020-06-25,3403.27,3829,425.727
2020-06-26,3414.74,4105,690.261
2020-06-27,3426.23,4288,861.773
2020-06-28,3437.75,4312,874.25
2020-06-29,3449.31,4365,915.689
2020-06-30,3460.91,4618,1157.09
2020-07-01,3472.55,4853,1380.45
2020-07-02,3484.23,5091,1606.77
2020-07-03,3495.94,5210,1714.06
2020-07-04,3507.7,5405,1897.3
2020-07-05,3519.49,5404,1884.51
2020-07-06,3531.33,5450,1918.67
2020-07-07,3543.2,1.05695e-307,-3543.2
