Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,1,1,0
2020-03-09,0,1,1
2020-03-10,0,1,1
2020-03-11,0,1,1
2020-03-12,0,1,1
2020-03-13,0,1,1
2020-03-14,0,1,1
2020-03-15,0,1,1
2020-03-16,0,1,1
2020-03-17,0,1,1
2020-03-18,0,1,1
2020-03-19,0,4,4
2020-03-20,4,5,1
2020-03-21,5,7,2
2020-03-22,7,7,0
2020-03-23,6,7,1
2020-03-24,6,9,3
2020-03-25,9,11,2
2020-03-26,11,11,0
2020-03-27,10,11,1
2020-03-28,10,14,4
2020-03-29,14,17,3
2020-03-30,17,17,0
2020-03-31,16,18,2
2020-04-01,17,18,1
2020-04-02,17,18,1
2020-04-03,17,22,5
2020-04-04,22,23,1
2020-04-05,22,28,6
2020-04-06,28,31,3
2020-04-07,31,32,1
2020-04-08,31,37,6
2020-04-09,37,37,+
2020-04-10,36,45,9
2020-04-11,45,48,3
2020-04-12,47,48,1
2020-04-13,47,50,3
2020-04-14,49,72,23
2020-04-15,73,82,9
2020-04-16,82,89,7
2020-04-17,88,110,22
2020-04-18,111,132,21
2020-04-19,133,159,26
2020-04-20,160,171,11
2020-04-21,170,210,40
2020-04-22,212,243,31
2020-04-23,244,324,80
2020-04-24,330,413,83
2020-04-25,419,501,82
2020-04-26,506,554,48
2020-04-27,555,643,88
2020-04-28,647,777,130
2020-04-29,785,957,172
2020-04-30,969,1044,75
2020-05-01,1044,1226,182
2020-05-02,1235,1372,137
2020-05-03,1376,1441,65
2020-05-04,1435,1538,103
2020-05-05,1535,1606,71
2020-05-06,1599,1703,104
2020-05-07,1698,1867,169
2020-05-08,1868,2033,165
2020-05-09,2033,2172,139
2020-05-10,2168,2258,90
2020-05-11,2247,2343,96
2020-05-12,2331,2580,249
2020-05-13,2583,2761,178
2020-05-14,2756,2972,216
2020-05-15,2969,3212,243
2020-05-16,3210,3593,383
2020-05-17,3604,3816,212
2020-05-18,3806,4031,225
2020-05-19,4018,4316,298
2020-05-20,4309,4437,128
2020-05-21,4410,4916,506
2020-05-22,4926,5302,376
2020-05-23,5298,5630,332
2020-05-24,5616,6214,598
2020-05-25,6224,6682,458
2020-05-26,6674,7058,384
2020-05-27,7036,7580,544
2020-05-28,7570,8055,485
2020-05-29,8036,8618,582
2020-05-30,8604,9223,619
2020-05-31,9208,10288,1080
2020-06-01,10316,10837,521
2020-06-02,10801,11559,758
2020-06-03,11536,12407,871
2020-06-04,12391,13097,706
2020-06-05,13057,13937,880
2020-06-06,13906,14818,912
2020-06-07,14784,15706,922
2020-06-08,15665,15706,41
2020-06-09,15562,17193,1631
2020-06-10,17207,18176,969
2020-06-11,18123,19200,1077
2020-06-12,19142,20031,889
2020-06-13,19943,20887,944
2020-06-14,20795,22199,1404
2020-06-15,22147,22962,815
2020-06-16,22840,23632,792
2020-06-17,23493,24867,1374
2020-06-18,24782,25633,851
2020-06-19,25487,26906,1419
2020-06-20,26807,27698,891
2020-06-21,27536,28657,1121
2020-06-22,28506,29395,889
2020-06-23,29211,30248,1037
2020-06-24,30070,31230,1160
2020-06-25,31058,32065,1007
2020-06-26,31868,32864,996
2020-06-27,32656,33521,865
2020-06-28,33290,34312,1022
2020-06-29,34090,35117,1027
2020-06-30,34889,35962,1073
2020-07-01,35731,36819,1088
2020-07-02,36581,37328,747
2020-07-03,37046,38404,1358
2020-07-04,38177,39255,1078
2020-07-05,37802.4,39935,2132.56
2020-07-06,37414.3,40569,3154.71
2020-07-07,37028.1,41524,4495.89
2020-07-08,36645.7,42322,5676.31
2020-07-09,36267.2,43191,6923.81
2020-07-10,35892.6,43959,8066.41
2020-07-11,35521.9,44633,9111.14
2020-07-12,35155,45330,10175
2020-07-13,34791.9,46296,11504.1
2020-07-14,34432.5,47005,12572.5
2020-07-15,34076.9,47864,13787.1
2020-07-16,33724.9,48734,15009.1
2020-07-17,33376.5,49253,15876.5
2020-07-18,33031.8,49583,16551.2
2020-07-19,32690.6,50078,17387.4
2020-07-20,32353,1.00132e-307,-32353
