Data,Saida_Estimada,Saida,Erro
2020-04-21,1,1,0
2020-04-22,1,1,0
2020-04-23,1,1,0
2020-04-24,1,1,0
2020-04-25,1,5,4
2020-04-26,5,5,0
2020-04-27,5,5,0
2020-04-28,5,5,0
2020-04-29,5,6,1
2020-04-30,6,6,0
2020-05-01,6,6,0
2020-05-02,6,6,0
2020-05-03,6,9,3
2020-05-04,9,9,0
2020-05-05,9,10,1
2020-05-06,10,14,4
2020-05-07,14,15,1
2020-05-08,15,16,1
2020-05-09,17,18,1
2020-05-10,19,17,-2
2020-05-11,18,17,-1
2020-05-12,18,18,0
2020-05-13,19,21,2
2020-05-14,22,34,12
2020-05-15,36,38,2
2020-05-16,40,40,0
2020-05-17,42,47,5
2020-05-18,50,47,-3
2020-05-19,50,50,0
2020-05-20,53,60,7
2020-05-21,63,61,-2
2020-05-22,64,66,2
2020-05-23,70,70,0
2020-05-24,74,73,-1
2020-05-25,77,79,2
2020-05-26,83,86,3
2020-05-27,91,89,-2
2020-05-28,94,91,-3
2020-05-29,96,98,2
2020-05-30,104,106,2
2020-05-31,112,113,1
2020-06-01,120,115,-5
2020-06-02,122,124,2
2020-06-03,131,131,+
2020-06-04,139,136,-3
2020-06-05,146,+,+
2020-06-06,155,+,+
2020-06-07,164,+,+
2020-06-08,174,+,+
2020-06-09,184,+,+
2020-06-10,195,+,+
2020-06-11,207,+,+
2020-06-12,219,+,+
2020-06-13,232,+,+
2020-06-14,247,+,+
2020-06-15,262,+,+
2020-06-16,278,+,+
2020-06-17,295,+,+
2020-06-18,314,+,+
2020-06-19,333,+,+
