Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,1,1,0
2020-03-29,1,1,0
2020-03-30,1,1,0
2020-03-31,1,1,0
2020-04-01,1,1,0
2020-04-02,1,1,0
2020-04-03,1,1,0
2020-04-04,1,1,0
2020-04-05,1,1,0
2020-04-06,1,0,-1
2020-04-07,0,0,0
2020-04-08,0,2,2
2020-04-09,2,2,0
2020-04-10,2,2,0
2020-04-11,2,2,0
2020-04-12,2,3,1
2020-04-13,3,3,0
2020-04-14,3,3,0
2020-04-15,3,3,0
2020-04-16,3,3,0
2020-04-17,3,3,0
2020-04-18,3,5,2
2020-04-19,5,5,0
2020-04-20,5,5,0
2020-04-21,5,5,0
2020-04-22,5,5,0
2020-04-23,5,8,3
2020-04-24,9,8,-1
2020-04-25,8,8,0
2020-04-26,8,9,1
2020-04-27,9,11,2
2020-04-28,11,15,4
2020-04-29,16,17,1
2020-04-30,17,20,3
2020-05-01,21,21,0
2020-05-02,21,23,2
2020-05-03,23,28,5
2020-05-04,29,29,0
2020-05-05,29,33,4
2020-05-06,34,38,4
2020-05-07,39,41,2
2020-05-08,42,44,2
2020-05-09,45,49,4
2020-05-10,51,53,2
2020-05-11,54,55,1
2020-05-12,56,57,1
2020-05-13,58,58,+
2020-05-14,58,61,3
2020-05-15,62,62,+
2020-05-16,62,62,+
2020-05-17,62,63,1
2020-05-18,63,66,3
2020-05-19,67,66,-1
2020-05-20,66,69,3
2020-05-21,70,72,2
2020-05-22,73,73,+
2020-05-23,73,76,3
2020-05-24,77,76,-1
2020-05-25,76,79,3
2020-05-26,80,82,2
2020-05-27,83,85,2
2020-05-28,86,88,2
2020-05-29,89,90,1
2020-05-30,91,93,2
2020-05-31,94,94,+
2020-06-01,94,94,+
2020-06-02,94.6124,95,0.387605
2020-06-03,95.4353,95,-0.435308
2020-06-04,96.3346,95,-1.33458
2020-06-05,97.2655,96,-1.26546
2020-06-06,98.2131,96,-2.21306
2020-06-07,99.1725,97,-2.17248
2020-06-08,100.142,97,-3.14213
2020-06-09,101.122,99,-2.12155
2020-06-10,102.111,100,-2.11065
2020-06-11,103.109,101,-2.10945
2020-06-12,104.118,101,-3.11804
2020-06-13,105.136,101,-4.13649
2020-06-14,106.165,103,-3.16491
2020-06-15,107.203,104,-3.20338
2020-06-16,108.252,104,-4.25202
2020-06-17,109.311,+,-109.311
