Data,Saida_Estimada,Data
2020-04-04,26,2020-04-04
2020-04-05,27,2020-04-05
2020-04-06,33,2020-04-06
2020-04-07,33,2020-04-07
2020-04-08,34,2020-04-08
2020-04-09,34,2020-04-09
2020-04-10,35,2020-04-10
2020-04-11,36,2020-04-11
2020-04-12,39,2020-04-12
2020-04-13,43,2020-04-13
2020-04-14,47,2020-04-14
2020-04-15,53,2020-04-15
2020-04-16,51,2020-04-16
2020-04-17,54,2020-04-17
2020-04-18,56,2020-04-18
2020-04-19,60,2020-04-19
2020-04-20,70,2020-04-20
2020-04-21,73,2020-04-21
2020-04-22,76,2020-04-22
2020-04-23,80,2020-04-23
2020-04-24,82,2020-04-24
2020-04-25,111,2020-04-25
2020-04-26,118,2020-04-26
2020-04-27,119,2020-04-27
2020-04-28,141,2020-04-28
2020-04-29,161,2020-04-29
2020-04-30,162,2020-04-30
2020-05-01,182,2020-05-01
2020-05-02,192,2020-05-02
2020-05-03,228,2020-05-03
2020-05-04,231,2020-05-04
2020-05-05,235,2020-05-05
2020-05-06,236,2020-05-06
2020-05-07,236,2020-05-07
2020-05-08,248,2020-05-08
2020-05-09,261,2020-05-09
2020-05-10,275,2020-05-10
2020-05-11,289,2020-05-11
2020-05-12,304,2020-05-12
2020-05-13,320,2020-05-13
2020-05-14,337,2020-05-14
2020-05-15,355,2020-05-15
2020-05-16,373,2020-05-16
2020-05-17,393,2020-05-17
2020-05-18,413,2020-05-18
2020-05-19,435,2020-05-19
2020-05-20,458,2020-05-20
2020-05-21,482,2020-05-21
2020-05-22,507,2020-05-22
